state,code,name,zone,address,geometry_type,coordinates
Tamil Nadu,CUPJ,CUDDALORE PORT,SR,"Cuddalore Township, Tamil Nadu",Point,"[79.766287, 11.715119]"
,PLJ,PALEJ,,,Point,"[73.072387, 21.921578]"
Rajasthan,GOLE,GOLE,NWR,"National Highway 112, Rajasthan",Point,"[72.00004, 25.891938]"
,BDX,BDX,,,,
,TRO,TIRORA,,,Point,"[79.91803499999999, 21.415039]"
,JMG,JAMGA,,,Point,"[83.564842, 21.874971000000002]"
,JMSY,JMSY,,,,
,AHLR,AHALYAPUR,,,Point,"[83.824844, 26.468381]"
,TEL,TENALI JN,,,Point,"[80.640413, 16.242409000000002]"
Andhra Pradesh,TAT,Tummanamgutta,SCR,"Chennai - Anantpur Rd, Andhra Pradesh",Point,"[78.37926300000001, 13.707414]"
,CU,CHAGALLU,,,Point,"[81.690558, 16.965076999999997]"
,PSDA,PASIVEDALA,,,Point,"[81.700939, 16.99331]"
Rajasthan,MBGA,Marwar Bagra,NWR,"SH 31, Rajasthan",Point,"[72.59376099999999, 25.208689]"
Rajasthan,JNE,JANIYANA,NWR,"State Highway 68, Rajasthan",Point,"[72.336284, 25.827638]"
Rajasthan,SMR,SAMDHARI JN,NWR,"Barmer, Rajasthan",Point,"[72.57300699999999, 25.837202]"
Rajasthan,SUT,SUTLANA,NWR,"Dundara, Rajasthan",Point,"[72.951414, 25.970783]"
Gujarat,PBR,PORBANDAR,WR,"Porbandar, Gujarat",Point,"[69.615506, 21.643597999999997]"
Karnataka,CKVD,Chikkandawadi,SWR,"Chikkandawadi, Karnataka",Point,"[76.2025684888, 14.137920273699999]"
Rajasthan,BHG,Bhaton Ki Gali,NWR,"Chomun, Rajasthan",Point,"[75.712919, 27.105646]"
Rajasthan,HMO,Hanumangarh Town,NWR,"Hanumangarh, Rajasthan",Point,"[74.33120188303292, 29.574220545495677]"
,SANR,SARDARNAGAR,,,Point,"[83.494054, 26.700858999999998]"
Jharkhand,GRD,Giridih,ER,"Giridih, Jharkhand",Point,"[86.3146452, 24.182255899999998]"
,CC,CHAURI CHAURA,,,Point,"[83.545894, 26.673882]"
,KMPT,KOMATIPALLI,,,Point,"[79.5158922174, 18.023547297]"
