State,District,avg_RAS,station_count,avg_supply_index,avg_demand_index,total_schedule_rows,avg_route_connectivity
Gujarat,Patan,0.30302855549642993,16,0.03522319585521816,0.052104651027683774,226,0.875
Gujarat,Porbandar,0.4872414500325489,4,0.05195628728693906,0.04417284770245657,76,6.0
Gujarat,Rajkot,0.2394311790782239,42,0.07189964724024281,0.16942322910306207,1184,0.40476190476190477
Gujarat,Sabar Kantha,0.22267302899026897,20,0.01511882525490047,0.04680610611580349,134,0.5
Gujarat,Surat,0.3800870997180264,23,0.34316842798976116,0.4420626499736667,3019,1.565217391304348
Gujarat,Surendranagar,0.5509605979553048,34,0.10041956873693518,0.057068204541555714,1329,0.17647058823529413
Gujarat,Tapi,0.7344572423697299,7,0.1273014945040669,0.04601551948350709,348,0.0
Gujarat,The Dangs,0.32288354705123024,1,0.02112104379780098,0.0442927686763596,7,7.0
Gujarat,Vadodara,0.32277378250195243,46,0.1930704358510714,0.20094503123599547,3407,1.2173913043478262
Gujarat,Valsad,0.8277308275221192,12,0.4528860075905667,0.08671728322821931,2070,1.75
Haryana,Ambala,0.7154121024825246,8,0.2775662620606565,0.09615263953688598,845,2.75
Haryana,Bhiwani,0.28641119715025587,14,0.05160175547739276,0.12020863655955996,280,2.0714285714285716
Haryana,Faridabad,0.587760420005354,6,0.3800260554815753,0.1998809655046249,872,0.0
Haryana,Fatehabad,0.3398329628740525,8,0.061596896427505404,0.10576410833379439,194,0.5
Haryana,Gurgaon,0.46194651169974643,11,0.1417390944016361,0.12429853118843402,602,0.36363636363636365
Haryana,Hisar,0.2878440886165788,12,0.04390199765598638,0.09906585593053265,204,2.3333333333333335
Haryana,Jhajjar,0.6155104556960602,4,0.11848387411088375,0.06826375244066256,184,0.0
Haryana,Jind,0.3685850003653593,22,0.06868853474397625,0.09159265355630554,589,1.0909090909090908
Haryana,Kaithal,0.2357901131832567,9,0.016675508208198457,0.053976517176920646,66,0.0
Haryana,Karnal,0.6242480264885716,8,0.2448666731624931,0.14739195285172307,752,0.0
Haryana,Kurukshetra,0.6528195840630714,6,0.21165194011770125,0.08441586942341965,486,1.3333333333333333
Haryana,Mahendragarh,0.24977334853763516,10,0.02761592343585913,0.08174701486658921,120,0.0
Haryana,Palwal,0.7575795849312763,5,0.4347450542494128,0.10603378989701506,830,0.4
Haryana,Panchkula,0.43548266542598824,2,0.08100487800339866,0.09922804990178748,54,16.5
Haryana,Panipat,0.2592917712812048,12,0.09350468264148735,0.1602838084096715,437,0.3333333333333333
Haryana,Rewari,0.441121588879352,15,0.08760107304905353,0.07900111798481677,505,2.8
Haryana,Rohtak,0.44173140793339644,11,0.09842509590054113,0.10193394687881735,417,1.6363636363636365
Haryana,Sirsa,0.22180955316097084,8,0.0338116513308767,0.1178248658919643,109,0.75
Haryana,Sonipat,0.4219461929262866,12,0.14700776973017057,0.12717562524804063,682,0.0
Haryana,Yamunanagar,0.5787948949114959,6,0.1961566360280187,0.12156670544760599,453,0.0
Himachal Pradesh,Kangra,0.45873214805094553,32,0.039320864948516464,0.037397859981783035,507,0.3125
Himachal Pradesh,Mandi,0.16636584236614815,3,0.00891286663907793,0.04447163079015729,12,1.3333333333333333
Himachal Pradesh,Shimla,0.28246799620009755,5,0.030787819839694697,0.07791152344308161,60,2.4
Himachal Pradesh,Solan,0.32135397647232,12,0.028962724782660473,0.061164446197454016,144,0.0
Himachal Pradesh,Una,0.3306327783680171,2,0.021092421819867938,0.042476070605971424,16,3.5
Jharkhand,Bokaro,0.3315347916201515,22,0.0625104836325401,0.09377536397605316,542,0.36363636363636365
Jharkhand,Deoghar,0.523765210336427,18,0.1417250139570849,0.04948462804138866,971,3.0555555555555554
Jharkhand,Dhanbad,0.21974642922434262,45,0.09292748240406083,0.24450757756945798,1613,1.5555555555555556
Jharkhand,Dumka,0.09268974139756513,5,0.006927504971591876,0.06590525753417358,17,0.8
Jharkhand,Garhwa,0.5961901375455282,4,0.05265949960483723,0.0356671872833971,84,0.0
Jharkhand,Giridih,0.49568676066937734,13,0.1234478305230081,0.08432607558337556,620,1.0769230769230769
Jharkhand,Gumla,0.4958206502451123,2,0.04739354964435351,0.048118718395362636,38,0.0
Jharkhand,Hazaribagh,0.41071544912412966,3,0.057047791238573675,0.06851932642188228,68,0.0
Jharkhand,Jamtara,0.8080102863864953,6,0.2648674709388951,0.04729746236711282,609,0.3333333333333333
Jharkhand,Khunti,0.6384401772307055,6,0.04563823299085893,0.025816633343152914,110,0.0
Jharkhand,Kodarma,0.782382303643367,11,0.19593034715200092,0.04061765790850329,830,0.18181818181818182
Jharkhand,Latehar,0.6978596372770137,13,0.07268797351567272,0.026477587389935494,369,0.7692307692307693
Jharkhand,Lohardaga,0.3845239567594665,3,0.020458708258397722,0.03250719956908864,24,2.6666666666666665
Jharkhand,Pakur,0.697707500876532,3,0.17026571538897373,0.07077043882500467,197,0.0
Jharkhand,Palamu,0.4780291569257233,16,0.0637326108517103,0.061241781126438785,403,0.0625
Jharkhand,Pashchimi Singhbhum,0.4343238920030194,21,0.062299723951291526,0.046436232125759924,515,0.47619047619047616
Jharkhand,Purbi Singhbhum,0.42358324242496953,11,0.15770122904007444,0.19521375052937423,658,3.727272727272727
Jharkhand,Ramgarh,0.4030146025339072,16,0.05059686682991856,0.06596420030130706,320,0.75
Jharkhand,Ranchi,0.3415526033014065,20,0.10153553186184341,0.1496690868269107,767,4.2
Jharkhand,Sahibganj,0.4017846639100712,19,0.09252940463705508,0.1178266581293783,674,2.3157894736842106
Jharkhand,Simdega,0.6633430498638615,8,0.04607706215423258,0.023348207957921658,148,0.0
Karnataka,Bagalkot,0.34577573524456756,11,0.04886688600765044,0.09229672390525946,214,0.36363636363636365
Karnataka,Bangalore Rural,0.5125551847636223,13,0.12821902105337118,0.08709061466581272,646,0.15384615384615385
Karnataka,Belgaum,0.46714871666381286,25,0.10634406070905529,0.11842434175392412,1033,0.24
Karnataka,Bellary,0.4333863939209452,13,0.07225145043295741,0.09000839891795663,368,0.46153846153846156
Karnataka,Bidar,0.3599468496323503,6,0.039494624703627926,0.07022886570604711,96,0.0
Karnataka,Bijapur,0.44425838381203464,19,0.05189258910288956,0.06146559531424706,390,0.631578947368421
Karnataka,Chikkaballapura,0.4310581205254414,6,0.12224799284246102,0.10618355616268042,284,0.3333333333333333
Karnataka,Chikmagalur,0.6538735684567749,10,0.11728431725962078,0.05235531492106514,454,0.5
Karnataka,Chitradurga,0.35006873766864044,18,0.054001881209996015,0.06134932854363252,384,0.6111111111111112
Karnataka,Dakshina Kannada,0.36501849574904505,16,0.07083377534180171,0.0860490929040911,432,3.125
