station_code,total_schedule_rows,unique_trains_serving_station,outbound_routes,inbound_routes,route_connectivity,code,name,State,District,pc11_state_id,pc11_district_id,shrug_population,shrug_households,shrug_area,shrug_population_density,shrug_rail_dist,shrug_city_dist,shrug_city5_dist
CAG,14,14,0.0,0.0,0.0,CAG,CHHABRA GUGOR,Rajasthan,Baran,8.0,128.0,254214.0,49902.0,148.29,1714.3030548250051,0.0,50.0,50.0
CAI,33,33,0.0,0.0,0.0,CAI,CHANPATIA,Bihar,Pashchim Champaran,10.0,203.0,393165.0,73107.0,94.4,4164.883474576271,0.0,0.0,217.0
CAJ,79,79,0.0,0.0,0.0,CAJ,CHAKRAJ MAL,Uttar Pradesh,Bijnor,9.0,134.0,925312.0,154200.0,108.107,8559.223732043254,0.0,7.0,35.0
CAM,94,94,0.0,0.0,0.0,CAM,CHHOTA AMBANA,Jharkhand,Dhanbad,20.0,354.0,1560394.0,296040.0,181.242,8609.450348153297,0.0,0.0,0.0
CAMU,29,29,0.0,0.0,0.0,CAMU,CHAMUA,Bihar,Pashchim Champaran,10.0,203.0,393165.0,73107.0,94.4,4164.883474576271,0.0,0.0,217.0
CAN,85,85,10.0,10.0,20.0,CAN,KANNUR,Kerala,Kannur,32.0,589.0,1640986.0,352069.0,1003.66,1635.0018930713588,0.0,30.0,66.0
CAO,4,4,0.0,0.0,0.0,CAO,CHAURADANO,Bihar,Purba Champaran,10.0,204.0,401343.0,71844.0,123.75,3243.1757575757574,0.0,0.0,120.0
CAP,97,97,0.0,0.0,0.0,CAP,CHATRAPUR,Odisha,Ganjam,21.0,388.0,761437.0,162461.0,4194.07,181.55085632810136,0.0,4.0,110.0
CAPC,97,97,0.0,0.0,0.0,CAPC,CHATRAPUR COURT,Odisha,Ganjam,21.0,388.0,761437.0,162461.0,4194.07,181.55085632810136,0.0,4.0,110.0
CAPE,22,22,11.0,11.0,22.0,CAPE,KANYAKUMARI,Tamil Nadu,Kanniyakumari,33.0,629.0,1539802.0,398061.0,662.8399999999999,2323.037233721562,0.0,0.0,10.0
CAR,181,181,2.0,2.0,4.0,CAR,CHUNAR,Uttar Pradesh,Mirzapur,9.0,199.0,347567.0,55602.0,73.22000000000001,4746.886096694891,0.0,25.0,25.0
