pc11_state_id,pc11_district_id,State,District,shrug_population,shrug_households,shrug_area,shrug_population_density,shrug_rail_dist,shrug_city_dist,shrug_city5_dist
1,19,Jammu Kashmir,Udhampur,108208,20353.0,43.720000000000006,2475.0228728270813,0.0,12.0,66.0
1,20,Jammu Kashmir,Reasi,26996,5030.0,39.01,692.0276852089208,19.0,23.0,50.0
1,21,Jammu Kashmir,Jammu,765013,154908.0,252.13,3034.200610796018,4.0,0.0,0.0
1,22,Jammu Kashmir,Samba,53615,10667.0,38.75999999999999,1383.2559339525287,0.0,14.0,14.0
2,23,Himachal Pradesh,Chamba,36108,7864.0,20.75,1740.144578313253,36.0,53.0,110.0
2,24,Himachal Pradesh,Kangra,86281,20508.0,47.71000000000001,1808.4468664850133,2.0,24.0,120.0
2,26,Himachal Pradesh,Kullu,41391,10449.0,17.13,2416.287215411559,119.0,215.0,260.0
2,27,Himachal Pradesh,Mandi,62637,15398.0,27.83,2250.7006827164932,0.0,132.0,176.0
2,28,Himachal Pradesh,Hamirpur,31430,7404.0,11.61,2707.149009474591,33.0,80.0,130.0
2,29,Himachal Pradesh,Una,44913,9830.0,20.46,2195.1612903225805,0.0,28.0,90.0
2,30,Himachal Pradesh,Bilaspur,25129,5773.0,17.43,1441.7096959265634,10.0,90.0,108.0
2,31,Himachal Pradesh,Solan,102147,25915.0,33.78,3023.8898756660747,0.0,31.0,31.0
2,32,Himachal Pradesh,Sirmaur,57165,13121.0,19.14,2986.6771159874606,40.0,51.0,90.0
2,33,Himachal Pradesh,Shimla,201351,54508.0,55.46,3630.5625676163,0.0,0.0,118.0
3,35,Punjab,Gurdaspur,667042,131366.0,220.73,3021.981606487564,0.0,0.0,18.0
3,36,Punjab,Kapurthala,302564,60279.0,89.63,3375.7001004128083,0.0,7.0,21.0
3,37,Punjab,Jalandhar,1155128,247953.0,243.21,4749.508655071749,0.0,5.0,2.0
3,38,Punjab,Hoshiarpur,334969,72163.0,142.29000000000002,2354.128891700049,0.0,12.0,40.0
3,39,Punjab,Shahid Bhagat Singh Nagar,125416,26734.0,67.35,1862.1529324424648,0.0,4.0,35.0
3,40,Punjab,Fatehgarh Sahib,185482,39103.0,77.67,2388.0777649027937,0.0,7.0,31.0
3,41,Punjab,Ludhiana,2069708,436030.0,321.9,6429.661385523455,0.0,7.0,7.0
3,42,Punjab,Moga,227246,45958.0,49.65,4576.958710976838,15.0,0.0,45.0
3,43,Punjab,Firozpur,552556,109027.0,138.58,3987.2708904603837,0.0,5.0,65.0
3,44,Punjab,Muktsar,252191,50236.0,62.72,4020.902423469388,0.0,30.0,130.0
3,45,Punjab,Faridkot,217051,44165.0,44.99,4824.427650589019,0.0,31.0,40.0
3,46,Punjab,Bathinda,499217,102610.0,159.09,3137.953359733484,0.0,11.0,125.0
3,47,Punjab,Mansa,163604,32398.0,48.67,3361.4957879597287,0.0,10.5,122.0
3,48,Punjab,Patiala,763280,158036.0,155.19,4918.358141632837,0.0,0.0,45.0
3,49,Punjab,Amritsar,1358933,273905.0,220.97,6149.852921211024,0.0,2.0,2.0
3,50,Punjab,Tarn Taran,141795,26752.0,34.33,4130.35246140402,0.0,25.0,25.0
